data,label,char_count,word_count,has_emoji,has_link,has_english,has_science,clean,clean_word_count
رنگین‌کمان نتیجهٔ شکست نور در قطرات باران است.,Scientific,46,8,False,False,False,True,رنگین‌کمان نتیجهٔ شکست نور در قطرات باران است.,8
فلزات رسانای خوبی برای جریان برق هستند.,Scientific,39,7,False,False,False,False,فلزات رسانای خوبی برای جریان برق هستند.,7
انرژی پتانسیل گرانشی به ارتفاع جسم از سطح زمین بستگی دارد.,Scientific,58,11,False,False,False,True,انرژی پتانسیل گرانشی به ارتفاع جسم از سطح زمین بستگی دارد.,11
خون از طریق رگ‌ها اکسیژن و مواد غذایی را به سلول‌ها می‌رساند.,Scientific,61,12,False,False,False,False,خون از طریق رگ‌ها اکسیژن و مواد غذایی را به سلول‌ها می‌رساند.,12
دمای بالا سرعت تبخیر آب را افزایش می‌دهد.,Scientific,41,8,False,False,False,True,دمای بالا سرعت تبخیر آب را افزایش می‌دهد.,8
امواج رادیویی نوعی موج الکترومغناطیسی هستند.,Scientific,44,6,False,False,False,False,امواج رادیویی نوعی موج الکترومغناطیسی هستند.,6
دی ان ای دستورالعمل ساخت پروتئین را در خود دارد.,Scientific,48,10,False,False,False,False,دی ان ای دستورالعمل ساخت پروتئین را در خود دارد.,10
کریستال‌ها ساختاری منظم و تکرارشونده از اتم‌ها دارند.,Scientific,53,8,False,False,False,False,کریستال‌ها ساختاری منظم و تکرارشونده از اتم‌ها دارند.,8
باد نتیجهٔ اختلاف فشار هوا بین نواحی مختلف است.,Scientific,47,9,False,False,False,True,باد نتیجهٔ اختلاف فشار هوا بین نواحی مختلف است.,9
ماهی‌ها برای تنفس از آب اکسیژن استخراج می‌کنند.,Scientific,47,8,False,False,False,False,ماهی‌ها برای تنفس از آب اکسیژن استخراج می‌کنند.,8
غدد درون‌ریز هورمون‌ها را مستقیم وارد خون می‌کنند.,Scientific,50,8,False,False,False,False,غدد درون‌ریز هورمون‌ها را مستقیم وارد خون می‌کنند.,8
فسیل‌ها بقایای موجودات باستانی هستند که در سنگ‌ها حفظ شده‌اند.,Scientific,62,10,False,False,False,False,فسیل‌ها بقایای موجودات باستانی هستند که در سنگ‌ها حفظ شده‌اند.,10
نیروی وزن برابر با جرم ضربدر شتاب گرانش است.,Scientific,44,9,False,False,False,True,نیروی وزن برابر با جرم ضربدر شتاب گرانش است.,9
گیاهان برای جذب مواد معدنی از خاک از ریشه استفاده می‌کنند.,Scientific,58,11,False,False,False,False,گیاهان برای جذب مواد معدنی از خاک از ریشه استفاده می‌کنند.,11
تنفس سلولی فرآیندی است که طی آن انرژی از گلوکز آزاد می‌شود.,Scientific,59,12,False,False,False,False,تنفس سلولی فرآیندی است که طی آن انرژی از گلوکز آزاد می‌شود.,12
چگالی نشان می‌دهد چه مقدار جرم در یک حجم مشخص قرار دارد.,Scientific,56,12,False,False,False,False,چگالی نشان می‌دهد چه مقدار جرم در یک حجم مشخص قرار دارد.,12
یون‌ها اتم‌هایی هستند که الکترون از دست داده یا گرفته‌اند.,Scientific,58,10,False,False,False,False,یون‌ها اتم‌هایی هستند که الکترون از دست داده یا گرفته‌اند.,10
حرکت قاره‌ها نتیجهٔ حرکت صفحات تکتونیکی است.,Scientific,44,7,False,False,False,False,حرکت قاره‌ها نتیجهٔ حرکت صفحات تکتونیکی است.,7
انرژی خورشیدی منبعی تجدیدپذیر و پاک محسوب می‌شود.,Scientific,49,8,False,False,False,False,انرژی خورشیدی منبعی تجدیدپذیر و پاک محسوب می‌شود.,8
بار الکتریکی باعث ایجاد نیروهای جذبی و دافعی بین اجسام می‌شود.,Scientific,62,11,False,False,False,False,بار الکتریکی باعث ایجاد نیروهای جذبی و دافعی بین اجسام می‌شود.,11
سیستم عصبی پیام‌ها را با سرعت بالا در بدن منتقل می‌کند.,Scientific,55,11,False,False,False,False,سیستم عصبی پیام‌ها را با سرعت بالا در بدن منتقل می‌کند.,11
گرمایش جهانی حاصل افزایش گازهای گلخانه‌ای در جو است.,Scientific,52,9,False,False,False,False,گرمایش جهانی حاصل افزایش گازهای گلخانه‌ای در جو است.,9
مواد می‌توانند به سه حالت جامد، مایع و گاز وجود داشته باشند.,Scientific,60,12,False,False,False,False,مواد می‌توانند به سه حالت جامد، مایع و گاز وجود داشته باشند.,12
ابرها از قطرات کوچک آب یا کریستال‌های یخ تشکیل شده‌اند.,Scientific,55,10,False,False,False,False,ابرها از قطرات کوچک آب یا کریستال‌های یخ تشکیل شده‌اند.,10
سنگ‌های آذرین از سرد شدن ماگما تشکیل می‌شوند.,Scientific,45,8,False,False,False,False,سنگ‌های آذرین از سرد شدن ماگما تشکیل می‌شوند.,8
در شیمی، مول نشان‌دهندهٔ تعداد زیادی از ذرات است.,Scientific,49,9,False,False,False,False,در شیمی، مول نشان‌دهندهٔ تعداد زیادی از ذرات است.,9
انرژی حرارتی از جسم گرم به جسم سرد منتقل می‌شود.,Scientific,48,10,False,False,False,False,انرژی حرارتی از جسم گرم به جسم سرد منتقل می‌شود.,10
اسیدها طعم ترش داشته و یون هیدروژن آزاد می‌کنند.,Scientific,48,9,False,False,False,False,اسیدها طعم ترش داشته و یون هیدروژن آزاد می‌کنند.,9
پروتئین‌ها برای ساخت عضلات ضروری هستند.,Scientific,39,6,False,False,False,False,پروتئین‌ها برای ساخت عضلات ضروری هستند.,6
ستارگان با سوزاندن هیدروژن انرژی تولید می‌کنند.,Scientific,47,7,False,False,False,False,ستارگان با سوزاندن هیدروژن انرژی تولید می‌کنند.,7
مغناطیس ناشی از حرکت بارهای الکتریکی است.,Scientific,41,7,False,False,False,False,مغناطیس ناشی از حرکت بارهای الکتریکی است.,7
بارش برف زمانی رخ می‌دهد که قطرات آب در ابرها یخ بزنند.,Scientific,55,12,False,False,False,False,بارش برف زمانی رخ می‌دهد که قطرات آب در ابرها یخ بزنند.,12
میدان گرانشی زمین ماه را در مدار نگه می‌دارد.,Scientific,45,9,False,False,False,True,میدان گرانشی زمین ماه را در مدار نگه می‌دارد.,9
ترکیبات آلی عمدتاً بر پایهٔ کربن ساخته شده‌اند.,Scientific,47,8,False,False,False,False,ترکیبات آلی عمدتاً بر پایهٔ کربن ساخته شده‌اند.,8
فشار هوا با افزایش ارتفاع کاهش می‌یابد.,Scientific,39,7,False,False,False,True,فشار هوا با افزایش ارتفاع کاهش می‌یابد.,7
در فیزیک، انرژی نمی‌تواند از بین برود و فقط تبدیل می‌شود.,Scientific,57,11,False,False,False,False,در فیزیک، انرژی نمی‌تواند از بین برود و فقط تبدیل می‌شود.,11
الکترون‌ها در مدارهای اطراف هسته حرکت می‌کنند.,Scientific,46,7,False,False,False,False,الکترون‌ها در مدارهای اطراف هسته حرکت می‌کنند.,7
امواج صوتی برای انتشار به محیط نیاز دارند.,Scientific,42,8,False,False,False,False,امواج صوتی برای انتشار به محیط نیاز دارند.,8
نیروی بالابر باعث پرواز هواپیما می‌شود.,Scientific,39,6,False,False,False,False,نیروی بالابر باعث پرواز هواپیما می‌شود.,6
خط استوا گرم‌ترین ناحیهٔ کرهٔ زمین است.,Scientific,39,7,False,False,False,False,خط استوا گرم‌ترین ناحیهٔ کرهٔ زمین است.,7
لایه گوشته بخش بزرگی از حجم زمین را تشکیل می‌دهد.,Scientific,49,10,False,False,False,False,لایه گوشته بخش بزرگی از حجم زمین را تشکیل می‌دهد.,10
حالت پلاسما نوعی ماده با الکترون‌های آزاد است.,Scientific,46,8,False,False,False,False,حالت پلاسما نوعی ماده با الکترون‌های آزاد است.,8
بارش باران زمانی رخ می‌دهد که قطرات آب سنگین شده و سقوط کنند.,Scientific,61,13,False,False,False,False,بارش باران زمانی رخ می‌دهد که قطرات آب سنگین شده و سقوط کنند.,13
دریاچه‌ها ذخایر مهم آب شیرین هستند.,Scientific,35,6,False,False,False,False,دریاچه‌ها ذخایر مهم آب شیرین هستند.,6
نیروی کشش سطحی باعث باقی ماندن حشرات روی آب می‌شود.,Scientific,51,10,False,False,False,False,نیروی کشش سطحی باعث باقی ماندن حشرات روی آب می‌شود.,10
رعد نتیجهٔ انبساط ناگهانی هوای گرم‌شده توسط برق آذرخش است.,Scientific,58,10,False,False,False,False,رعد نتیجهٔ انبساط ناگهانی هوای گرم‌شده توسط برق آذرخش است.,10
مغز انسان از میلیاردها نورون تشکیل شده است.,Scientific,43,8,False,False,False,True,مغز انسان از میلیاردها نورون تشکیل شده است.,8
انقراض گونه‌ها اغلب نتیجهٔ نابودی زیستگاه‌هاست.,Scientific,47,6,False,False,False,False,انقراض گونه‌ها اغلب نتیجهٔ نابودی زیستگاه‌هاست.,6
واکنش‌های اکسایش و کاهش انتقال الکترون بین مواد را شامل می‌شوند.,Scientific,64,11,False,False,False,False,واکنش‌های اکسایش و کاهش انتقال الکترون بین مواد را شامل می‌شوند.,11
انرژی باد از حرکت توده‌های هوا تأمین می‌شود.,Scientific,44,8,False,False,False,False,انرژی باد از حرکت توده‌های هوا تأمین می‌شود.,8
رودخانه‌ها نقش مهمی در فرسایش و شکل‌گیری زمین دارند.,Scientific,52,9,False,False,False,False,رودخانه‌ها نقش مهمی در فرسایش و شکل‌گیری زمین دارند.,9
غلظت محلول نشان‌دهندهٔ مقدار مادهٔ حل‌شده در حلال است.,Scientific,54,9,False,False,False,False,غلظت محلول نشان‌دهندهٔ مقدار مادهٔ حل‌شده در حلال است.,9
جانوران برای تولید انرژی، غذا را تجزیه می‌کنند.,Scientific,47,8,False,False,False,True,جانوران برای تولید انرژی، غذا را تجزیه می‌کنند.,8
لایه‌های زمین شامل پوسته، گوشته و هسته است.,Scientific,43,8,False,False,False,False,لایه‌های زمین شامل پوسته، گوشته و هسته است.,8
تغییرات دما می‌تواند حجم مواد را افزایش یا کاهش دهد.,Scientific,52,10,False,False,False,True,تغییرات دما می‌تواند حجم مواد را افزایش یا کاهش دهد.,10
واکنش‌های گرمازا انرژی آزاد می‌کنند.,Scientific,36,5,False,False,False,False,واکنش‌های گرمازا انرژی آزاد می‌کنند.,5
دایناسورها حدود ۶۵ میلیون سال پیش منقرض شدند.,Scientific,45,8,False,False,False,False,دایناسورها حدود ۶۵ میلیون سال پیش منقرض شدند.,8
گلبول‌های سفید نقش مهمی در دفاع بدن دارند.,Scientific,42,8,False,False,False,False,گلبول‌های سفید نقش مهمی در دفاع بدن دارند.,8
جرم ویژگی مقدار مادهٔ موجود در جسم است.,Scientific,39,8,False,False,False,False,جرم ویژگی مقدار مادهٔ موجود در جسم است.,8
ماهواره‌های مخابراتی اطلاعات را بین نقاط مختلف منتقل می‌کنند.,Scientific,61,9,False,False,False,False,ماهواره‌های مخابراتی اطلاعات را بین نقاط مختلف منتقل می‌کنند.,9
خورشید بزرگ‌ترین جسم منظومه شمسی است.,Scientific,37,6,False,False,False,False,خورشید بزرگ‌ترین جسم منظومه شمسی است.,6
هورمون‌ها پیام‌رسان‌های شیمیایی بدن هستند.,Scientific,42,5,False,False,False,False,هورمون‌ها پیام‌رسان‌های شیمیایی بدن هستند.,5
جذب نور به رنگ سطح بستگی دارد.,Scientific,30,7,False,False,False,True,جذب نور به رنگ سطح بستگی دارد.,7
زمین هر ۲۴ ساعت یک بار به دور خود می‌چرخد.,Scientific,42,10,False,False,False,False,زمین هر ۲۴ ساعت یک بار به دور خود می‌چرخد.,10
آتشفشان‌های فعال می‌توانند گازهای سمی آزاد کنند.,Scientific,48,7,False,False,False,False,آتشفشان‌های فعال می‌توانند گازهای سمی آزاد کنند.,7
امواج مادون‌قرمز نوعی تابش الکترومغناطیسی هستند.,Scientific,48,6,False,False,False,False,امواج مادون‌قرمز نوعی تابش الکترومغناطیسی هستند.,6
شهاب‌سنگ‌ها بقایای سنگی هستند که وارد جو زمین می‌شوند.,Scientific,54,9,False,False,False,False,شهاب‌سنگ‌ها بقایای سنگی هستند که وارد جو زمین می‌شوند.,9
گیاهان مواد قندی ساخته‌شده در برگ را به سایر بخش‌ها منتقل می‌کنند.,Scientific,66,12,False,False,False,False,گیاهان مواد قندی ساخته‌شده در برگ را به سایر بخش‌ها منتقل می‌کنند.,12
الکترولیت‌ها در محلول یون تولید می‌کنند.,Scientific,40,6,False,False,False,False,الکترولیت‌ها در محلول یون تولید می‌کنند.,6
لایهٔ هیدروسفر تمام منابع آب روی زمین را شامل می‌شود.,Scientific,53,10,False,False,False,False,لایهٔ هیدروسفر تمام منابع آب روی زمین را شامل می‌شود.,10
چربی‌ها انرژی ذخیره‌شده برای بدن فراهم می‌کنند.,Scientific,47,7,False,False,False,False,چربی‌ها انرژی ذخیره‌شده برای بدن فراهم می‌کنند.,7
در واکنش‌های شیمیایی جرم مواد حفظ می‌شود.,Scientific,41,7,False,False,False,False,در واکنش‌های شیمیایی جرم مواد حفظ می‌شود.,7
ماهواره‌ها برای پایش آب‌وهوا استفاده می‌شوند.,Scientific,45,6,False,False,False,False,ماهواره‌ها برای پایش آب‌وهوا استفاده می‌شوند.,6
الیاف طبیعی مانند پنبه از گیاهان به دست می‌آیند.,Scientific,48,9,False,False,False,False,الیاف طبیعی مانند پنبه از گیاهان به دست می‌آیند.,9
توده‌های هوا بر اساس دما و رطوبت دسته‌بندی می‌شوند.,Scientific,51,9,False,False,False,True,توده‌های هوا بر اساس دما و رطوبت دسته‌بندی می‌شوند.,9
اتم‌ها از پروتون، نوترون و الکترون تشکیل شده‌اند.,Scientific,49,8,False,False,False,False,اتم‌ها از پروتون، نوترون و الکترون تشکیل شده‌اند.,8
چرخش زمین عامل ایجاد شب و روز است.,Scientific,34,8,False,False,False,False,چرخش زمین عامل ایجاد شب و روز است.,8
امواج فرابنفش می‌توانند باعث آفتاب‌سوختگی شوند.,Scientific,47,6,False,False,False,False,امواج فرابنفش می‌توانند باعث آفتاب‌سوختگی شوند.,6
انرژی الکتریکی قابل تبدیل به انرژی نورانی است.,Scientific,46,8,False,False,False,True,انرژی الکتریکی قابل تبدیل به انرژی نورانی است.,8
گیاهان به کمک کلروفیل نور را جذب می‌کنند.,Scientific,41,8,False,False,False,True,گیاهان به کمک کلروفیل نور را جذب می‌کنند.,8
عضلات با مصرف ATP منقبض می‌شوند.,Scientific,32,6,False,False,True,False,عضلات با مصرف ATP منقبض می‌شوند.,6
حرارت باعث افزایش جنب‌وجوش مولکولی می‌شود.,Scientific,42,6,False,False,False,False,حرارت باعث افزایش جنب‌وجوش مولکولی می‌شود.,6
بادهای موسمی ناشی از تغییرات فصلی دما هستند.,Scientific,44,8,False,False,False,True,بادهای موسمی ناشی از تغییرات فصلی دما هستند.,8
سنگ‌های رسوبی از تجمع و فشرده‌شدن رسوبات تشکیل می‌شوند.,Scientific,55,9,False,False,False,False,سنگ‌های رسوبی از تجمع و فشرده‌شدن رسوبات تشکیل می‌شوند.,9
پروتون‌ها بار مثبت دارند.,Scientific,25,4,False,False,False,False,پروتون‌ها بار مثبت دارند.,4
خون از پلاسما، سلول‌های خونی و مواد محلول تشکیل شده است.,Scientific,56,11,False,False,False,False,خون از پلاسما، سلول‌های خونی و مواد محلول تشکیل شده است.,11
انرژی از طریق مواد غذایی وارد بدن می‌شود.,Scientific,41,8,False,False,False,False,انرژی از طریق مواد غذایی وارد بدن می‌شود.,8
نیروی مغناطیسی قطب‌های هم‌نام را دفع می‌کند.,Scientific,44,7,False,False,False,False,نیروی مغناطیسی قطب‌های هم‌نام را دفع می‌کند.,7
حرکت وضعی زمین طول شبانه‌روز را تعیین می‌کند.,Scientific,45,8,False,False,False,False,حرکت وضعی زمین طول شبانه‌روز را تعیین می‌کند.,8
گازهای گلخانه‌ای مانع خروج کامل گرما از جو می‌شوند.,Scientific,51,9,False,False,False,False,گازهای گلخانه‌ای مانع خروج کامل گرما از جو می‌شوند.,9
مقاومت الکتریکی میزان مخالفت ماده با عبور جریان است.,Scientific,52,9,False,False,False,False,مقاومت الکتریکی میزان مخالفت ماده با عبور جریان است.,9
سلول‌های عصبی پیام‌ها را از طریق سیناپس منتقل می‌کنند.,Scientific,54,9,False,False,False,False,سلول‌های عصبی پیام‌ها را از طریق سیناپس منتقل می‌کنند.,9
بارش تگرگ در ابرهای طوفانی شدید شکل می‌گیرد.,Scientific,44,8,False,False,False,False,بارش تگرگ در ابرهای طوفانی شدید شکل می‌گیرد.,8
امواج آبی شکل انتقال انرژی در دریاست.,Scientific,37,7,False,False,False,False,امواج آبی شکل انتقال انرژی در دریاست.,7
اشعه ایکس قادر است از بسیاری مواد عبور کند.,Scientific,43,9,False,False,False,False,اشعه ایکس قادر است از بسیاری مواد عبور کند.,9
واکنش فصل مشترک فلزات را می‌توان با الکترولیت‌ها مشاهده کرد.,Scientific,60,10,False,False,False,False,واکنش فصل مشترک فلزات را می‌توان با الکترولیت‌ها مشاهده کرد.,10
نیروی گریز از مرکز در چرخش اجسام ظاهر می‌شود.,Scientific,45,9,False,False,False,False,نیروی گریز از مرکز در چرخش اجسام ظاهر می‌شود.,9
هسته زمین عمدتاً از آهن و نیکل تشکیل شده است.,Scientific,45,10,False,False,False,False,هسته زمین عمدتاً از آهن و نیکل تشکیل شده است.,10
گیاهان انرژی اضافی را به صورت نشاسته ذخیره می‌کنند.,Scientific,51,9,False,False,False,False,گیاهان انرژی اضافی را به صورت نشاسته ذخیره می‌کنند.,9
صوت با برخورد مولکول‌های هوا منتقل می‌شود.,Scientific,42,7,False,False,False,False,صوت با برخورد مولکول‌های هوا منتقل می‌شود.,7
گلبول‌های قرمز اکسیژن را از ریه به بافت‌ها می‌رسانند.,Scientific,53,9,False,False,False,False,گلبول‌های قرمز اکسیژن را از ریه به بافت‌ها می‌رسانند.,9
چشم انسان قادر به تشخیص حدود ۷ میلیون رنگ است.,Scientific,46,10,False,False,False,False,چشم انسان قادر به تشخیص حدود ۷ میلیون رنگ است.,10
باکتری‌ها می‌توانند مواد آلی را تجزیه کنند.,Scientific,43,7,False,False,False,False,باکتری‌ها می‌توانند مواد آلی را تجزیه کنند.,7
امواج الکترومغناطیسی در خلأ بدون نیاز به محیط حرکت می‌کنند.,Scientific,59,10,False,False,False,False,امواج الکترومغناطیسی در خلأ بدون نیاز به محیط حرکت می‌کنند.,10
در شیمی، بازها یون هیدروکسید آزاد می‌کنند.,Scientific,42,7,False,False,False,False,در شیمی، بازها یون هیدروکسید آزاد می‌کنند.,7
دما بر سرعت واکنش‌های شیمیایی تأثیر می‌گذارد.,Scientific,45,7,False,False,False,True,دما بر سرعت واکنش‌های شیمیایی تأثیر می‌گذارد.,7
زمین‌لرزه‌ها با دستگاه لرزه‌نگار ثبت می‌شوند.,Scientific,45,6,False,False,False,False,زمین‌لرزه‌ها با دستگاه لرزه‌نگار ثبت می‌شوند.,6
ذرات معلق در هوا می‌توانند کیفیت هوارا کاهش دهند.,Scientific,49,9,False,False,False,False,ذرات معلق در هوا می‌توانند کیفیت هوارا کاهش دهند.,9
انرژی جنبشی به سرعت جسم وابسته است.,Scientific,35,7,False,False,False,False,انرژی جنبشی به سرعت جسم وابسته است.,7
سحابی‌ها محل تولد ستارگان جوان‌اند.,Scientific,35,5,False,False,False,False,سحابی‌ها محل تولد ستارگان جوان‌اند.,5
قارچ‌ها فاقد کلروفیل هستند و فتوسنتز نمی‌کنند.,Scientific,46,7,False,False,False,False,قارچ‌ها فاقد کلروفیل هستند و فتوسنتز نمی‌کنند.,7
نور سفید ترکیبی از رنگ‌های مختلف طیف است.,Scientific,41,8,False,False,False,True,نور سفید ترکیبی از رنگ‌های مختلف طیف است.,8
باران اسیدی حاصل ترکیب گازهای صنعتی با بخار آب است.,Scientific,51,10,False,False,False,False,باران اسیدی حاصل ترکیب گازهای صنعتی با بخار آب است.,10
دستگاه گوارش غذا را به اجزای قابل جذب تبدیل می‌کند.,Scientific,51,10,False,False,False,False,دستگاه گوارش غذا را به اجزای قابل جذب تبدیل می‌کند.,10
پوست بزرگ‌ترین اندام بدن انسان است.,Scientific,35,6,False,False,False,False,پوست بزرگ‌ترین اندام بدن انسان است.,6
علم ژنتیک به بررسی وراثت و تغییرات ژنی می‌پردازد.,Scientific,49,9,False,False,False,False,علم ژنتیک به بررسی وراثت و تغییرات ژنی می‌پردازد.,9
امواج صوتی با افزایش فاصله تضعیف می‌شوند.,Scientific,41,7,False,False,False,False,امواج صوتی با افزایش فاصله تضعیف می‌شوند.,7
خورشید منبع اصلی انرژی برای زمین است.,Scientific,37,7,False,False,False,False,خورشید منبع اصلی انرژی برای زمین است.,7
برخی مواد در آب محلول نیستند مانند روغن.,Scientific,40,8,False,False,False,False,برخی مواد در آب محلول نیستند مانند روغن.,8
واکنش‌های هسته‌ای انرژی بسیار زیادی آزاد می‌کنند.,Scientific,49,7,False,False,False,False,واکنش‌های هسته‌ای انرژی بسیار زیادی آزاد می‌کنند.,7
مواد جامد ساختار منظمی دارند.,Scientific,29,5,False,False,False,False,مواد جامد ساختار منظمی دارند.,5
دریاها زیستگاه میلیون‌ها گونه جانوری هستند.,Scientific,43,6,False,False,False,True,دریاها زیستگاه میلیون‌ها گونه جانوری هستند.,6
خاک از تجزیه سنگ‌ها و مواد آلی تشکیل می‌شود.,Scientific,44,9,False,False,False,False,خاک از تجزیه سنگ‌ها و مواد آلی تشکیل می‌شود.,9
